DeviceMoId,Firmware,MemorySpeed,MgmtIpAddress,Model,Moid,Name,NumCpuCores,NumCpus,PlatformType,Serial
6459829e6f72612d30310428,4.2(2g),2666,172.20.1.231,HXAF220C-M5SX,645982b96176752d30296e63,dev-hx-04,36,2,IMCM5,WMP251000LZ
6459829e6f72612d3031044e,4.2(2g),2666,172.20.1.229,HXAF220C-M5SX,645982e66176752d302971fc,dev-hx-02,36,2,IMCM5,WMP2510012P
645982f56f72612d303104c9,4.2(2g),2666,172.20.1.230,HXAF220C-M5SX,645983006176752d302973ec,dev-hx-03,36,2,IMCM5,WMP251000LH
645983aa6f72612d3031056a,4.2(2g),2666,172.20.1.228,HXAF220C-M5SX,645983e36176752d302979f3,dev-hx-01,36,2,IMCM5,WMP251000LX
6807c9786f7261301f1372c3,4.1(2S43),2400,172.20.1.22,UCSC-C220-M5SX,6807c9db617675301f62e4ac,ESXI-T4-02-CIMC,28,2,IMCM5,WZP22320UDE
68d5d7cf6f7261301fcc1819,4.0(4f),2933,172.20.2.20,HXAF220C-M5SX,68d5d830617675301ffb9cef,cg6102,48,2,IMCM5,WZP23391QQR
68d5d7d06f7261301fcc183b,4.0(4f),2933,172.20.3.20,HXAF220C-M5SX,68d5d832617675301ffb9e6e,cg6103,48,2,IMCM5,WZP23400AXG
68d5d7d06f7261301fcc185e,4.0(4f),2933,172.20.1.20,HXAF220C-M5SX,68d5d832617675301ffb9fde,cg6101,48,2,IMCM5,WZP23391QQB
68dea5906f7261301fdd0f9a,4.3(2.230270),4800,172.20.106.21,UCSC-C220-M7S,68dea5b6617675301f0fc728,ocp-aim7-01,64,2,IMCRack,WZP28310Q1Q
68dea5916f7261301fdd0fd6,4.2(3m),2400,172.20.106.12,HX220C-M5SX,68dea5e1617675301f0fc976,ocpm5-02,24,2,IMCM5,WMP253400J6
68dea5946f7261301fdd106d,4.2(3m),2400,172.20.106.13,HX220C-M5SX,68dea5e6617675301f0fcaf5,ocpm5-03,24,2,IMCM5,WMP253400GP
68dea5926f7261301fdd1015,4.3(5.250001),4800,172.20.106.22,UCSC-C220-M7S,68dea5eb617675301f0fcc73,ocp-aim7-02,64,2,IMCRack,WZP28310Q1B
68dea5926f7261301fdd1001,4.2(3m),2400,172.20.106.11,HX220C-M5SX,68dea5eb617675301f0fce29,ocpm5-01,24,2,IMCM5,WMP253400KA
68dea5906f7261301fdd0fac,4.3(5.250001),4800,172.20.106.23,UCSC-C220-M7S,68dea5ed617675301f0fcfd1,ocp-aim7-03,64,2,IMCRack,WZP28310Q2L
68dea5936f7261301fdd1047,4.3(2.230270),2666,172.20.106.41,UCSC-C220-M5SX,68dea618617675301f0fd23e,sandbox-bm-esxi,36,2,IMCM5,WMP2443017J
