ConnectionState,Cores,Sockets,Speed,Vendor,DnsServers,MemCapacity,MemUsed,Model,Moid,Name,NtpServers,ProcCapacity,ProcUsed,Build,Version
connected,36,2,2199,intel,['172.16.10.100'],823195291648,388088463360,HXAF220C-M5SX,64a81cb2736c6f2d30dc35b4,172.16.14.21,['172.20.1.254'],79199,32856,20842708,7.0.3
connected,36,2,2199,intel,['172.16.10.100'],823195291648,277178482688,HXAF220C-M5SX,64a81cb2736c6f2d30dc35b6,172.16.14.23,['172.20.1.254'],79199,36217,20842708,7.0.3
connected,36,2,2199,intel,['172.16.10.100'],823195291648,407023648768,HXAF220C-M5SX,64a81cb2736c6f2d30dc35b8,172.16.14.22,['172.20.1.254'],79199,23240,20842708,7.0.3
connected,36,2,2199,intel,['172.16.10.100'],755549556736,389894111232,HXAF220C-M5SX,64a81cb2736c6f2d30dc35ba,172.16.14.24,['172.20.1.254'],79199,30260,20842708,7.0.3
connected,40,2,3099,intel,[],823194812416,606334877696,HXAF220C-M5SN,64a81cb3736c6f2d30dc371a,172.20.104.42,['172.20.1.254'],123999,50158,19482537,7.0.3
disconnected,64,2,2199,intel,[],823258415104,0,UCSC-C220-M7S,66eb52f6736c6f301f735a13,nutanix-01.thor.iws.navy.mil,[],140799,0,Not Available,Not Available
disconnected,64,2,2199,intel,[],823258415104,0,UCSC-C220-M7S,66eb5305736c6f301f735a51,nutanix-02.thor.iws.navy.mil,[],140799,0,Not Available,Not Available
disconnected,64,2,2199,intel,[],823258415104,0,UCSC-C220-M7S,66eb5314736c6f301f735a8e,nutanix-03.thor.iws.navy.mil,[],140799,0,Not Available,Not Available
connected,48,2,2394,intel,['172.20.1.254'],961695141888,786966773760,HXAF220C-M5SX,670686b5736c6f301f73d142,172.16.10.22,['172.20.1.254'],114929,41649,14320388,6.7.0
connected,48,2,2394,intel,"['10.1.1.10', '8.8.8.8', '172.20.1.254']",961695141888,191909330944,HXAF220C-M5SX,670686b5736c6f301f73d144,172.16.10.21,['172.20.1.254'],114929,4735,14320388,6.7.0
connected,48,2,2394,intel,"['10.1.1.10', '8.8.8.8']",1099134095360,59522416640,HXAF220C-M5SX,670686b5736c6f301f73d146,172.16.10.23,['172.20.1.254'],114929,838,14320388,6.7.0
notResponding,28,2,2194,intel,[],274516602880,0,UCSC-C220-M5SX,670686b5736c6f301f73d14a,172.20.1.101,[],61455,0,Not Available,Not Available
