ConnectionState,CpuUtilization,DnsServerList,Hostname,IpAddress,OperatingSystem,GuestState,MemCapacity,MemUsed,MemoryUtilization,vmMoid,Name,ObjectType,PowerState,vCPU_Capacity,vCPU_Used,hostMoid,hostName
connected,6.2528424,"['172.16.20.101', '172.16.10.100']",fmc,172.16.14.89,Other 2.6.x Linux (64-bit),Running,34359738368,1717567488,4.9987793,64b06db3736c6f2d30dc7389,FMC-7.2.4,virtualization.VmwareVirtualMachine,PoweredOn,8796,550,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,7.0031834,['172.16.10.100'],ubuntu-pod2,172.0.2.1,Ubuntu Linux (64-bit),Running,4294967296,84934656,1.9775391,64a81cb8736c6f2d30dc38d4,ubuntu-pod2,virtualization.VmwareVirtualMachine,PoweredOn,2199,154,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,21.00955,['172.16.10.100'],FC-Appliance,172.16.14.140,Red Hat Enterprise Linux 6 (64-bit),Running,4294967296,1244659712,28.979492,68963a54736c6f301f75dcaf,FC-clusterinit-rhel_fvm4-new,virtualization.VmwareVirtualMachine,PoweredOn,2199,462,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,7.3783536,['172.16.20.101'],SpringpathController5QMG4Q02J3,172.16.14.11,Ubuntu Linux (64-bit),Running,60129542144,45097156608,75,64a81cb8736c6f2d30dc38b0,stCtlVM-WMP251000LX,virtualization.VmwareVirtualMachine,PoweredOn,17592,1298,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,4.668789,"['127.0.0.1', '172.16.10.100', '172.16.10.101']",sna-flowcollector,172.16.14.6,Debian GNU/Linux 11 (64-bit),Running,34359738368,3779067904,10.998535,675a38a9736c6f301f7d3a1f,SNA-7.5.1-FlowCollector,virtualization.VmwareVirtualMachine,PoweredOn,13194,616,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,0,['172.16.10.100'],ubuntu-pod1,172.0.1.11,Ubuntu Linux (64-bit),Running,34359738368,342884352,0.9979248,67d73f70736c6f301ff6013f,ubuntu-dns,virtualization.VmwareVirtualMachine,PoweredOn,8796,0,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,1.0004548,"['172.0.1.26', '172.0.1.11']",00-50-56-87-7c-3f,10.128.2.2,Red Hat Enterprise Linux 9 (64-bit),Running,68719476736,2061500416,2.999878,66a1a11e736c6f301ffd444a,OCP-6,virtualization.VmwareVirtualMachine,PoweredOn,39582,396,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,5.502501,"['127.0.0.1', '172.16.10.100']",sna-manager,172.16.14.5,Debian GNU/Linux 11 (64-bit),Running,17179869184,1717567488,9.997559,675a36e2736c6f301f7d3a0f,SNA-7.5.1-Manager,virtualization.VmwareVirtualMachine,PoweredOn,13194,726,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,1.1671972,"['172.31.136.4', '10.195.200.67']",localhost.localdomain,192.168.10.254,Ubuntu Linux (64-bit),Running,34359738368,1030750208,2.999878,66187238736c6f301f3ebf03,acisim-6.0-5h-pod13,virtualization.VmwareVirtualMachine,PoweredOn,26388,308,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,1.0004548,"['172.31.136.4', '10.195.200.67']",localhost.localdomain,192.168.10.254,Ubuntu Linux (64-bit),Running,34359738368,686817280,1.9989014,66187238736c6f301f3ebefd,acisim-6.0-5h-pod10,virtualization.VmwareVirtualMachine,PoweredOn,26388,264,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,1.1671972,"['172.31.136.4', '10.195.200.67']",localhost.localdomain,192.168.10.254,Ubuntu Linux (64-bit),Running,34359738368,686817280,1.9989014,66187229736c6f301f3ebeb5,acisim-6.0-5h-pod3,virtualization.VmwareVirtualMachine,PoweredOn,26388,308,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,0,[],,,Red Hat Enterprise Linux 6 (64-bit),NotRunning,34359738368,0,0,64a81cb8736c6f2d30dc3942,acisim-5.2-1g-pod7,virtualization.VmwareVirtualMachine,PoweredOff,26388,0,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,0,[],,,Red Hat Enterprise Linux 6 (64-bit),NotRunning,34359738368,0,0,64a81cb8736c6f2d30dc393a,acisim-5.2-1g-pod15,virtualization.VmwareVirtualMachine,PoweredOff,26388,0,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,0,[],,,Red Hat Enterprise Linux 6 (64-bit),NotRunning,34359738368,0,0,64a81cb8736c6f2d30dc3920,acisim-5.2-1g-pod9,virtualization.VmwareVirtualMachine,PoweredOff,26388,0,64a81cb2736c6f2d30dc35b4,172.16.14.21
connected,0,[],cml-controller,,Ubuntu Linux (64-bit),NotRunning,68719476736,0,0,64ff9332736c6f2d30536ced,CML_2.6.0-5,virtualization.VmwareVirtualMachine,PoweredOff,52776,0,64a81cb2736c6f2d30dc35b6,172.16.14.23
connected,0,[],,,CentOS 4/5/6 (32-bit),NotRunning,2147483648,0,0,64a81cb8736c6f2d30dc3966,UCSPE_4.2.2aS9,virtualization.VmwareVirtualMachine,PoweredOff,2199,0,64a81cb2736c6f2d30dc35b6,172.16.14.23
connected,17.29953,"['172.16.10.100', '172.16.20.101']",dev-intersight.thor.iws.navy.mil,172.16.14.105,CentOS 4/5/6/7 (64-bit),Running,68719476736,26800553984,38.99994,64a81cb8736c6f2d30dc3944,dev-intersight,virtualization.VmwareVirtualMachine,PoweredOn,52776,9130,64a81cb2736c6f2d30dc35b6,172.16.14.23
